ProductID;ProductName;Price;CategoryID;Class;ModifyDate;Resistant;IsAllergic;VitalityDays
1;Flour - Whole Wheat;742,988;3;Medium;21:49.2;Durable;NULL;NULL
2;Cookie Chocolate Chip With;912,329;3;Medium;39:11.0;NULL;NULL;NULL
3;Onions - Cippolini;91,379;9;Medium;11:51.6;Weak;False;111
4;Sauce - Gravy, Au Jus, Mix;543,055;9;Medium;46:28.9;Durable;NULL;NULL
5;Artichokes - Jerusalem;654,771;2;Low;13:35.4;Durable;True;27
6;Wine - Magnotta - Cab Sauv;797,184;8;High;08:39.7;NULL;NULL;NULL
7;Table Cloth - 53x69 Colour;31,837;9;Medium;14:30.0;Durable;False;NULL
8;Halibut - Steaks;898,573;5;Medium;21:21.9;NULL;True;108
9;Rabbit - Whole;844,219;11;Medium;12:04.7;Durable;NULL;NULL
10;Scampi Tail;950,957;4;Low;11:46.0;Weak;True;105
11;Garbage Bags - Clear;62,949;9;Low;02:21.3;Durable;True;67
12;Ezy Change Mophandle;493,356;4;Medium;49:59.0;Durable;True;NULL
13;Water, Tap;282,232;11;Low;49:10.9;Durable;False;69
14;Beef - Top Sirloin;33,324;7;Medium;40:47.8;Durable;True;NULL
15;Spoon - Soup, Plastic;32,442;1;Low;47:09.3;Weak;True;NULL
16;Kellogs Special K Cereal;547,246;2;Low;25:47.1;Durable;True;NULL
17;Wine - White, Mosel Gold;439,182;10;Medium;03:04.9;NULL;NULL;NULL
18;Lamb - Whole, Fresh;233,966;10;Medium;45:04.7;NULL;False;NULL
19;Tea - Earl Grey;225,614;3;Medium;39:53.3;Weak;True;94
20;Chocolate - Feathers;859,011;3;Low;13:57.5;Durable;True;NULL
21;Kiwi;467,252;7;High;59:46.1;Durable;NULL;NULL
22;Rice - Jasmine Sented;278,955;6;Medium;08:23.6;Weak;NULL;48
23;Crab - Imitation Flakes;790,184;11;Medium;18:29.9;Durable;True;NULL
24;Beer - Alexander Kieths, Pale Ale;89,037;3;Medium;36:02.4;Durable;True;65
25;Soupcontfoam16oz 116con;807,666;10;High;30:41.2;Durable;True;NULL
26;Squid U5 - Thailand;337,821;11;Medium;31:27.0;Weak;False;10
27;Chocolate - Compound Coating;171,724;1;Medium;27:27.3;NULL;NULL;86
28;Sobe - Tropical Energy;123,153;9;High;23:48.2;Durable;True;NULL
29;Spinach - Baby;335,883;7;Low;21:24.0;Durable;True;50
30;Cheese - Brie, Triple Creme;67,899;6;Low;28:46.7;Weak;NULL;72
31;Yeast Dry - Fermipan;739,851;2;Medium;33:06.1;Durable;False;NULL
32;Lettuce - Treviso;964,127;3;High;29:05.8;Durable;True;NULL
33;Beans - Wax;455,551;10;Medium;20:22.9;Weak;True;NULL
34;Mustard Prepared;433,463;6;Medium;05:20.8;Weak;NULL;7
35;Water - Mineral, Natural;157,233;6;Low;36:07.1;Durable;True;97
36;Table Cloth 54x72 White;692,574;9;Low;24:57.5;Durable;True;NULL
37;Nut - Pistachio, Shelled;803,171;7;Low;01:39.1;NULL;False;NULL
38;Sage - Ground;816,579;6;High;45:35.6;Weak;False;NULL
39;Dried Figs;752,059;11;Medium;51:44.3;Weak;False;120
40;Cocktail Napkin Blue;89,372;8;Low;05:34.4;NULL;NULL;NULL
41;Cup - 6oz, Foam;81,721;7;Medium;02:55.9;NULL;True;NULL
42;Bread - Raisin Walnut Oval;810,488;1;High;39:17.3;Weak;False;NULL
43;Sponge Cake Mix - Chocolate;163,983;9;High;40:16.8;Weak;True;96
44;Wine - White, Colubia Cresh;485,981;7;High;28:48.4;Durable;True;NULL
45;Beef - Ground Medium;795,324;4;Medium;00:00.4;Weak;True;NULL
46;Lambcasing;867,915;9;High;27:57.8;Durable;False;NULL
47;Thyme - Lemon, Fresh;471,339;9;High;50:46.8;Weak;False;NULL
48;Pecan Raisin - Tarts;603,625;7;Low;31:03.2;NULL;NULL;114
49;Bacardi Breezer - Tropical;614,317;8;High;21:41.9;Durable;False;NULL
50;Pork - Kidney;432,864;7;High;02:16.2;Weak;True;NULL
51;Wine - Crozes Hermitage E.;810,134;11;Medium;38:05.2;NULL;NULL;NULL
52;Turnip - White, Organic;556,059;1;Low;39:03.8;Durable;False;NULL
53;Cassis;926,279;8;Medium;42:44.9;Weak;True;NULL
54;Liners - Banana, Paper;535,592;9;Medium;31:04.5;Weak;True;NULL
55;Cinnamon Buns Sticky;66,182;3;High;20:42.0;NULL;False;85
56;Chips Potato Salt Vinegar 43g;464,033;9;Low;13:25.6;Weak;False;NULL
57;Sausage - Breakfast;122,145;3;Low;20:41.1;NULL;True;103
58;Dc Hikiage Hira Huba;201,009;7;Low;35:49.1;Durable;NULL;91
59;Pastry - Butterscotch Baked;735,389;10;High;15:47.6;NULL;False;NULL
60;Pepper - Paprika, Hungarian;316,949;2;Medium;42:08.5;Weak;NULL;NULL
61;Sardines;62,546;8;Low;41:12.4;Durable;False;90
62;Pears - Bosc;195,217;1;Medium;50:41.8;NULL;NULL;13
63;Cake - Mini Cheesecake;562,689;9;Low;59:57.9;Weak;NULL;NULL
64;Vinegar - Sherry;165,229;6;Low;43:17.9;NULL;True;94
65;Brandy - Bar;211,106;3;High;38:39.9;Weak;False;NULL
66;Pie Filling - Cherry;98,823;7;Medium;33:15.5;Weak;False;NULL
67;Wine - Sogrape Mateus Rose;37,805;5;Low;29:36.2;NULL;True;108
68;Beets - Candy Cane, Organic;848,769;6;High;43:50.1;Durable;False;72
69;Raspberries - Fresh;876,092;1;Low;04:40.8;NULL;True;NULL
70;Squid - Tubes / Tenticles 10/20;631,846;4;Low;22:11.8;Weak;True;45
71;Cheese - Wine;744,076;6;Low;24:08.0;Durable;NULL;NULL
72;Bar - Granola Trail Mix Fruit Nut;622,603;4;High;17:29.3;Durable;False;NULL
73;Appetizer - Sausage Rolls;481,907;11;Low;53:20.5;Weak;True;NULL
74;Carbonated Water - Cherry;136,241;7;Medium;34:18.9;Durable;False;26
75;Chef Hat 20cm;4,18;8;High;11:01.7;Durable;NULL;116
76;Wine - Fume Blanc Fetzer;656,765;6;Low;20:28.9;Durable;False;95
77;Potatoes - Idaho 100 Count;114,971;9;Medium;28:06.8;Durable;False;NULL
78;Wine - Magnotta - Belpaese;304,202;4;Medium;49:41.4;Weak;NULL;NULL
79;Pasta - Penne, Rigate, Dry;95,045;11;High;36:02.0;Weak;False;104
80;Wasabi Powder;939,752;2;High;02:43.5;Weak;True;NULL
81;Cookies - Assorted;866,483;2;Medium;40:40.2;NULL;NULL;NULL
82;Jolt Cola - Electric Blue;568,099;5;Low;56:24.0;NULL;NULL;63
83;Lamb - Ground;508,837;1;High;02:06.4;Durable;NULL;116
84;Peas - Frozen;903,019;1;Medium;19:07.8;Durable;False;NULL
85;Cheese - Parmesan Cubes;868,857;7;High;50:41.5;Durable;NULL;NULL
86;Longos - Grilled Chicken With;183,791;2;Low;54:02.3;Weak;False;NULL
87;Wine - Pinot Noir Latour;37,847;7;Low;46:20.8;NULL;False;NULL
88;Remy Red;91,996;2;Low;49:18.4;Durable;NULL;NULL
